T22,Land,,,,,
11,Western Africa,2010,Permanent crops (% of total land area),2.7031,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2010,Forest cover (% of total land area),11.6016,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2017,Land area (thousand hectares),606406.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2017,Arable land (thousand hectares),87339.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2017,Permanent crops (thousand hectares),16261.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2017,Forest cover (thousand hectares),67073.4030,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2017,Arable land (% of total land area),14.4027,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2017,Permanent crops (% of total land area),2.6815,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
11,Western Africa,2017,Forest cover (% of total land area),11.0608,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2005,Land area (thousand hectares),3867814.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2005,Arable land (thousand hectares),342591.0700,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2005,Permanent crops (thousand hectares),26731.2300,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2005,Forest cover (thousand hectares),1616563.8260,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2005,Arable land (% of total land area),8.8575,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2005,Permanent crops (% of total land area),0.6911,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2005,Forest cover (% of total land area),41.7953,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2010,Land area (thousand hectares),3866367.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2010,Arable land (thousand hectares),339016.3700,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2010,Permanent crops (thousand hectares),26398.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2010,Forest cover (thousand hectares),1602411.7870,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2010,Arable land (% of total land area),8.7683,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2010,Permanent crops (% of total land area),0.6828,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2010,Forest cover (% of total land area),41.4449,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2017,Land area (thousand hectares),3866107.6000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2017,Arable land (thousand hectares),346816.7900,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2017,Permanent crops (thousand hectares),25260.2400,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2017,Forest cover (thousand hectares),1592663.3420,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2017,Arable land (% of total land area),8.9707,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2017,Permanent crops (% of total land area),0.6534,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
19,Americas,2017,Forest cover (% of total land area),41.1955,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Land area (thousand hectares),1853824.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Arable land (thousand hectares),205890.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Permanent crops (thousand hectares),2865.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Forest cover (thousand hectares),652337.2200,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Arable land (% of total land area),11.1062,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Permanent crops (% of total land area),0.1545,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Forest cover (% of total land area),35.1887,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2005,Important sites for terrestrial biodiversity protected (% of total sites protected),34.3775,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
21,Northern America,2010,Land area (thousand hectares),1852374.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2010,Arable land (thousand hectares),195506.8000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2010,Permanent crops (thousand hectares),2777.0000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2010,Forest cover (thousand hectares),656026.1200,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2010,Arable land (% of total land area),10.5544,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2010,Permanent crops (% of total land area),0.1499,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2010,Forest cover (% of total land area),35.4154,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2010,Important sites for terrestrial biodiversity protected (% of total sites protected),39.5884,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
21,Northern America,2017,Land area (thousand hectares),1852374.4000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2017,Arable land (thousand hectares),196017.2000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2017,Permanent crops (thousand hectares),2774.3000,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2017,Forest cover (thousand hectares),657168.0200,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2017,Arable land (% of total land area),10.5819,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2017,Permanent crops (% of total land area),0.1498,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2017,Forest cover (% of total land area),35.4771,,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
21,Northern America,2017,Important sites for terrestrial biodiversity protected (% of total sites protected),41.3840,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
21,Northern America,2019,Important sites for terrestrial biodiversity protected (% of total sites protected),41.3840,,"United Nations Environment Programme (UNEP) World Conservation Monitoring Centre (WCMC) and World Conservation Union (IUCN) and BirdLife International, Cambridge, Sustainable Development Goals database, March 2020."
419,Latin America & the Caribbean,2005,Land area (thousand hectares),2013990.2000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
419,Latin America & the Caribbean,2005,Arable land (thousand hectares),2013990.2000,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
419,Latin America & the Caribbean,2005,Permanent crops (thousand hectares),23866.2300,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
419,Latin America & the Caribbean,2005,Forest cover (thousand hectares),964226.6060,Calculated by the UN Statistics Division.,"Food and Agriculture Organization of the United Nations (FAO), Rome, FAOSTAT data last accessed January 2020."
